YearWeek	ScreenID	Screen	Part	Distr	SUISA	OrigTitle	TotPro	TotAdm	TotBox	Dac	Pro_OV_2D	Adm_OV_2D	Box_OV_2D	Pro_GV_2D	Adm_GV_2D	Box_GV_2D	Pro_FV_2D	Adm_FV_2D	Box_FV_2D	Pro_IV_2D	Adm_IV_2D	Box_IV_2D	Pro_OV_3D	Adm_OV_3D	Box_OV_3D	Pro_GV_3D	Adm_GV_3D	Box_GV_3D	Pro_FV_3D	Adm_FV_3D	Box_FV_3D	Pro_IV_3D	Adm_IV_3D	Box_IV_3D	TotPro_OV	TotAdm_OV	TotBox_OV	TotPro_GV	TotAdm_GV	TotBox_GV	TotPro_FV	TotAdm_FV	TotBox_FV	TotPro_IV	TotAdm_IV	TotBox_IV	TotPro_2D	TotAdm_2D	TotBox_2D	TotPro_3D	TotAdm_3D	TotBox_3D
201413	108414	Reinach, TaB* Atelierkino	G	MOVIEBIZ	1009929	Berge im Kopf	1	4	55	r	1	4	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	55	0	0	0	0	0	0	0	0	0	1	4	55	0	0	0
201413	108414	Reinach, TaB* Atelierkino	G	FILMCOOPI	1010017	Neuland	5	29	398	r	5	29	398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	29	398	0	0	0	0	0	0	0	0	0	5	29	398	0	0	0
201412	108414	Reinach, TaB* Atelierkino	G	FOX	1009224	Mr. Peabody & Sherman	3	79	1032	r	0	0	0	3	79	1032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	79	1032	0	0	0	0	0	0	3	79	1032	0	0	0
201412	108414	Reinach, TaB* Atelierkino	G	ELITE	1009393	Nebraska	3	24	357	r	3	24	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	24	357	0	0	0	0	0	0	0	0	0	3	24	357	0	0	0
201412	108414	Reinach, TaB* Atelierkino	G	ELITE	1009715	100-year old man who climbed out the window and disappeared	5	166	2444	r	0	0	0	5	166	2444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	166	2444	0	0	0	0	0	0	5	166	2444	0	0	0
201412	108414	Reinach, TaB* Atelierkino	G	FRENETIC	1009882	Alphabet	1	26	401	r	1	26	401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	26	401	0	0	0	0	0	0	0	0	0	1	26	401	0	0	0
201412	108414	Reinach, TaB* Atelierkino	G	DARK DIMENSIONS	1010005	Eyyvah eyvah 3	1	33	485	r	1	33	485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	33	485	0	0	0	0	0	0	0	0	0	1	33	485	0	0	0
201411	108414	Reinach, TaB* Atelierkino	G	ELITE	1009332	12 Years a Slave	5	106	1669	r	5	106	1669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	106	1669	0	0	0	0	0	0	0	0	0	5	106	1669	0	0	0
201411	108414	Reinach, TaB* Atelierkino	G	ELITE	1009393	Nebraska	4	23	338	r	4	23	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	23	338	0	0	0	0	0	0	0	0	0	4	23	338	0	0	0
201411	108414	Reinach, TaB* Atelierkino	G	ELITE	1009670	Free Birds	2	12	163	r	0	0	0	2	12	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	12	163	0	0	0	0	0	0	2	12	163	0	0	0
201411	108414	Reinach, TaB* Atelierkino	G	FRENETIC	1009882	Alphabet	1	37	562	r	1	37	562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	37	562	0	0	0	0	0	0	0	0	0	1	37	562	0	0	0
201410	108414	Reinach, TaB* Atelierkino	G	ELITE	1009332	12 Years a Slave	5	127	1923	r	5	127	1923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	127	1923	0	0	0	0	0	0	0	0	0	5	127	1923	0	0	0
201410	108414	Reinach, TaB* Atelierkino	G	ELITE	1009670	Free Birds	3	23	292	r	0	0	0	3	23	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	23	292	0	0	0	0	0	0	3	23	292	0	0	0
201410	108414	Reinach, TaB* Atelierkino	G	PATHE	1009708	Philomena	3	35	515	r	3	35	515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	35	515	0	0	0	0	0	0	0	0	0	3	35	515	0	0	0
201410	108414	Reinach, TaB* Atelierkino	G	ALOCO	1009786	Glückspilze	1	9	134	r	1	9	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	134	0	0	0	0	0	0	0	0	0	1	9	134	0	0	0
201410	108414	Reinach, TaB* Atelierkino	G	DARK DIMENSIONS	1009894	Dügün dernek	1	50	761	r	1	50	761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	50	761	0	0	0	0	0	0	0	0	0	1	50	761	0	0	0
201409	108414	Reinach, TaB* Atelierkino	G	FOX	1009224	Mr. Peabody & Sherman	7	195	3638	r	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	195	3638	0	0	0	0	0	0	0	0	0	7	195	3638	0	0	0	0	0	0	0	0	0	7	195	3638
201409	108414	Reinach, TaB* Atelierkino	G	PATHE	1009271	Tarzan	7	70	1306	r	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	70	1306	0	0	0	0	0	0	0	0	0	7	70	1306	0	0	0	0	0	0	0	0	0	7	70	1306
201409	108414	Reinach, TaB* Atelierkino	G	PRAESENS	1009369	Minuscule - Valley of the Lost Ants	3	31	426	r	3	31	426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	31	426	0	0	0	0	0	0	0	0	0	3	31	426	0	0	0
201409	108414	Reinach, TaB* Atelierkino	G	ELITE	1009670	Free Birds	7	34	625	r	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	34	625	0	0	0	0	0	0	0	0	0	7	34	625	0	0	0	0	0	0	0	0	0	7	34	625
201409	108414	Reinach, TaB* Atelierkino	G	PATHE	1009708	Philomena	5	103	1534	r	5	103	1534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	103	1534	0	0	0	0	0	0	0	0	0	5	103	1534	0	0	0
201409	108414	Reinach, TaB* Atelierkino	G	ELITE	1009727	Der Goalie bin ig	4	89	1319	r	4	89	1319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	89	1319	0	0	0	0	0	0	0	0	0	4	89	1319	0	0	0
201409	108414	Reinach, TaB* Atelierkino	G	ALOCO	1009786	Glückspilze	1	17	254	r	1	17	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17	254	0	0	0	0	0	0	0	0	0	1	17	254	0	0	0
201408	108414	Reinach, TaB* Atelierkino	G	ELITE	1009727	Der Goalie bin ig	4	65	977	r	4	65	977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	65	977	0	0	0	0	0	0	0	0	0	4	65	977	0	0	0
201408	108414	Reinach, TaB* Atelierkino	G	PATHE	1009755	Fünf Freunde 3	2	31	392	r	2	31	392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	31	392	0	0	0	0	0	0	0	0	0	2	31	392	0	0	0
201408	108414	Reinach, TaB* Atelierkino	G	DISNEY	1009849	Akte Grüninger	3	28	406	r	3	28	406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	28	406	0	0	0	0	0	0	0	0	0	3	28	406	0	0	0
201408	108414	Reinach, TaB* Atelierkino	G	PRODUCER	1009919	Ein stück wahnsinn	1	4	64	r	1	4	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	64	0	0	0	0	0	0	0	0	0	1	4	64	0	0	0
201407	108414	Reinach, TaB* Atelierkino	G	ELITE	1009727	Der Goalie bin ig	4	82	1173	r	4	82	1173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	82	1173	0	0	0	0	0	0	0	0	0	4	82	1173	0	0	0
201407	108414	Reinach, TaB* Atelierkino	G	PATHE	1009755	Fünf Freunde 3	3	43	569	r	3	43	569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	43	569	0	0	0	0	0	0	0	0	0	3	43	569	0	0	0
201407	108414	Reinach, TaB* Atelierkino	G	DISNEY	1009849	Akte Grüninger	4	100	1458	r	4	100	1458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	100	1458	0	0	0	0	0	0	0	0	0	4	100	1458	0	0	0
201407	108414	Reinach, TaB* Atelierkino	G	PRODUCER	1009919	Ein stück wahnsinn	1	9	144	r	1	9	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	144	0	0	0	0	0	0	0	0	0	1	9	144	0	0	0
201406	108414	Reinach, TaB* Atelierkino	G	ELITE	30187	Cinema Paradiso	1	8	104	r	0	0	0	1	8	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	104	0	0	0	0	0	0	1	8	104	0	0	0
201406	108414	Reinach, TaB* Atelierkino	G	FRENETIC	1009430	Il etait une foret	4	59	887	r	0	0	0	4	59	887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	59	887	0	0	0	0	0	0	4	59	887	0	0	0
